,bikeid,checkout_time,duration_minutes,end_station_id,end_station_name,month,start_station_id,start_station_name,start_time,subscriber_type,trip_id,year,date,temp_high_F,temp_avg_F,temp_low_F,dew_point_high_F,dew_point_avg_F,dew_point_low_F,humidity_high_percent,humidity_avg_percent,humidity_low_percent,sea_level_pressure_high_inches,sea_level_pressure_avg_inches,sea_level_pressure_low_inches,visiblility_high_miles,visiblility_avg_miles,visiblility_low_miles,wind_high_MPH,wind_avg_MPH,wind_low_MPH,precipitaion_sum_inches,events
0,712.0,20:12:00,22,1008,Nueces @ 3rd,3,2548,UT West Mall @ Guadalupe,20:12:00,Annual Member (Houston B-cycle),9900083117,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
1,775.0,18:12:00,21,2563,Davis at Rainey Street,3,2544,East 6th & Pedernales St.,18:12:00,Walk Up,9900082688,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
2,579.0,12:12:00,13,2564,5th & San Marcos,3,2550,Republic Square @ Guadalupe & 4th St.,12:12:00,Walk Up,9900081332,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
3,998.0,14:12:00,7,2499,City Hall / Lavaca & 2nd,3,2502,Barton Springs & Riverside,14:12:00,Walk Up,9900081636,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
4,728.0,11:12:00,13,2539,Convention Center / 3rd & Trinity,3,2570,South Congress & Academy,11:12:00,Walk Up,9900081137,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
5,561.0,18:12:00,41,2495,4th & Congress,3,2548,UT West Mall @ Guadalupe,18:12:00,Walk Up,9900082774,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
6,158.0,19:12:00,40,2498,Convention Center / 4th St. @ MetroRail,3,2498,Convention Center / 4th St. @ MetroRail,19:12:00,Walk Up,9900083058,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
7,64.0,16:12:00,9,2496,8th & Congress,3,2501,5th & Bowie,16:12:00,Local365,9900082183,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
8,367.0,13:12:00,28,2544,East 6th & Pedernales St.,3,2565,Trinity & 6th Street,13:12:00,7-Day,9900081525,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
9,114.0,16:12:00,12,2565,Trinity & 6th Street,3,2563,Davis at Rainey Street,16:12:00,Walk Up,9900082096,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
