,bikeid,checkout_time,duration_minutes,end_station_id,end_station_name,month,start_station_id,start_station_name,start_time,subscriber_type,trip_id,year,date,temp_high_F,temp_avg_F,temp_low_F,dew_point_high_F,dew_point_avg_F,dew_point_low_F,humidity_high_percent,humidity_avg_percent,humidity_low_percent,sea_level_pressure_high_inches,sea_level_pressure_avg_inches,sea_level_pressure_low_inches,visiblility_high_miles,visiblility_avg_miles,visiblility_low_miles,wind_high_MPH,wind_avg_MPH,wind_low_MPH,precipitaion_sum_inches,events
0,434,12:12:00,20,2565,Trinity & 6th Street,3,2544,East 6th & Pedernales St.,12:12:00,Walk Up,9900081224,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
1,371,17:12:00,15,2545,ACC - Rio Grande & 12th,3,2564,5th & San Marcos,17:12:00,Local365,9900082418,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
2,991,23:12:00,8,2495,4th & Congress,3,2571,Red River & 8th Street,23:12:00,Walk Up,9900083686,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
3,105,16:12:00,14,2565,Trinity & 6th Street,3,2564,5th & San Marcos,16:12:00,Walk Up,9900082190,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
4,529,18:12:00,9,2550,Republic Square @ Guadalupe & 4th St.,3,2498,Convention Center / 4th St. @ MetroRail,18:12:00,7-Day,9900082773,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
5,775,18:12:00,21,2563,Davis at Rainey Street,3,2544,East 6th & Pedernales St.,18:12:00,Walk Up,9900082688,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
6,254,9:12:00,9,2498,Convention Center / 4th St. @ MetroRail,3,2822,East 6th at Robert Martinez,09:12:00,7-Day,9900080894,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
7,993,12:12:00,10,2563,Davis at Rainey Street,3,2502,Barton Springs & Riverside,12:12:00,Local365,9900081302,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
8,965,20:12:00,20,2494,2nd & Congress,3,2564,5th & San Marcos,20:12:00,Walk Up,9900083105,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
9,442,20:12:00,18,2536,Waller & 6th St.,3,2823,Capital Metro HQ - East 5th at Broadway,20:12:00,Local365,9900083137,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
